from,to,source
13,Total number of transfers of crop material from the Multilateral System of the International Treaty on Plant Genetic Resources for Food and Agriculture received in a country (subindicator of Sustainable Development Goal indicator 15.6.1),Monitoring framework assignment (Goals and Targets to Indicators)
13,Number of users that have provided information relevant to the utilization of genetic resources to designated checkpoints,Monitoring framework assignment (Goals and Targets to Indicators)
13,Number of checkpoint communiqués published on the Access and Benefit-sharing Clearing-House,Monitoring framework assignment (Goals and Targets to Indicators)
13,Number of internationally recognized certificates of compliance for non- commercial purposes in the Access and Benefit-sharing Clearing-House,Monitoring framework assignment (Goals and Targets to Indicators)
14,"14.b Number of countries integrating biodiversity and its multiple values into policies, regulations, planning, development processes, poverty eradication strategies and, as appropriate, national accounts, within and across all levels and across all sectors, and progressively aligning all relevant public and private activities and fiscal and financial flows with the goals and targets of the Framework",Monitoring framework assignment (Goals and Targets to Indicators)
14,"Integration of biodiversity into national accounting and reporting systems, defined as implementation of the System of Environmental- Economic Accounting (Sustainable Goal indicator 15.9.1 (b))",Monitoring framework assignment (Goals and Targets to Indicators)
15,"15.1 Number of companies disclosing their biodiversity- related risks, dependencies and impacts",Monitoring framework assignment (Goals and Targets to Indicators)
15,"15.b Number of countries with legal, administrative or policy measures aimed at encouraging and enabling business and financial institutions, and in particular for large and transnational companies and financial institutions, to progressively reduce their negative impacts on biodiversity, increase their positive impacts, reduce their biodiversity- related risks and promote actions to ensure sustainable patterns of production",Monitoring framework assignment (Goals and Targets to Indicators)
15,Number of companies publishing sustainability reports (Sustainable Development Goal indicator 12.6.1),Monitoring framework assignment (Goals and Targets to Indicators)
15,Number of organizations within the country that have signalled an intent to start adopting the recommendations of the Taskforce on Nature- related Financial Disclosures,Monitoring framework assignment (Goals and Targets to Indicators)
16,"16.b Number of countries developing, adopting or implementing policy instruments aimed at encouraging and enabling people to make sustainable consumption choices",Monitoring framework assignment (Goals and Targets to Indicators)
16,Food Waste Index (Sustainable Development Goal indicator 12.3.1(b)),Monitoring framework assignment (Goals and Targets to Indicators)
16,"Material footprint, material footprint per capita, and material footprint per GDP (Sustainable Development Goal indicator 8.4.1) per capita",Monitoring framework assignment (Goals and Targets to Indicators)
